C020_20180514_100234_R_CASIA2_LGC_054.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_002.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_030.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_000.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_086.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_058.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_110.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_052.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_012.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_108.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_104.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_102.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_076.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_046.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_042.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_124.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_008.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_068.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_120.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_034.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_072.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_114.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_078.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_088.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_010.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_036.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_060.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_094.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_080.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_048.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_096.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_022.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_026.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_084.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_004.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_032.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_066.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_100.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_082.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_112.jpg:  tensor(1, device='cuda:0')
the predicted label of R eye of C020 is 1

C020_20180514_100425_L_CASIA2_LGC_120.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_078.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_032.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_044.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_082.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_008.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_000.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_024.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_072.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_056.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_048.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_088.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_118.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_004.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_106.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_038.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_016.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_012.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_124.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_116.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_112.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_020.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_042.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_066.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_022.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_110.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_058.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_054.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_102.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_010.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_068.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_098.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_028.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_052.jpg:  tensor(0, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_034.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_108.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_084.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_104.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_080.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_030.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_014.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_070.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_100.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_062.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_050.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_126.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_026.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_046.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_092.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_060.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_076.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_002.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_094.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_090.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_006.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_036.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_040.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_086.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_122.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_064.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_018.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_114.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_096.jpg:  tensor(1, device='cuda:0')
C020_20180514_100425_L_CASIA2_LGC_074.jpg:  tensor(1, device='cuda:0')
the predicted label of L eye of C020 is 1

